Lifetime_Gross_Rank,Movie_Title,Lifetime_Gross,Domestic_Distributor,Budget,MPAA,Running_Time_Minutes,Genres
348.0,There's Something About Mary ,369885000.0,Twentieth Century Fox,23000000.0,R,119.0,Comedy Romance
349.0,Gone Girl ,369330000.0,Twentieth Century Fox,61000000.0,R,149.0,Drama Mystery Thriller
350.0,The Fugitive ,368876000.0,Warner Bros.,,PG-13,130.0,Action Crime Drama Mystery Thriller
351.0,Jurassic Park III ,368781000.0,Universal Pictures,93000000.0,PG-13,92.0,Action Adventure Sci-Fi Thriller
352.0,My Big Fat Greek Wedding ,368744000.0,IFC Films,5000000.0,PG,95.0,Comedy Drama Romance
353.0,Hello Mr. Billionaire ,132219000.0,,,,,Comedy
354.0,Die Hard with a Vengeance ,366237000.0,Twentieth Century Fox,90000000.0,R,128.0,Action Adventure Thriller
355.0,The Nun ,365550000.0,Warner Bros.,22000000.0,R,96.0,Horror Mystery Thriller
356.0,Alvin and the Chipmunks ,365353000.0,Twentieth Century Fox,60000000.0,PG,92.0,Animation Comedy Family Fantasy Music
357.0,Home Alone 2: Lost in New York ,365155000.0,Twentieth Century Fox,,PG,120.0,Adventure Comedy Crime Family
358.0,Shazam! ,364572000.0,Warner Bros.,100000000.0,PG-13,132.0,Action Adventure Comedy Fantasy
359.0,Notting Hill ,363945000.0,Universal Pictures,42000000.0,PG-13,124.0,Comedy Drama Romance
360.0,A Bug's Life ,363259000.0,Walt Disney Studios Motion Pictures,120000000.0,,95.0,Adventure Animation Comedy Family
361.0,Night at the Museum: Secret of the Tomb ,363205000.0,Twentieth Century Fox,127000000.0,PG,98.0,Adventure Comedy Family Fantasy
362.0,Ocean's Twelve ,362744000.0,Warner Bros.,110000000.0,PG-13,125.0,Crime Thriller
363.0,Planet of the Apes ,362212000.0,Twentieth Century Fox,100000000.0,PG-13,119.0,Action Adventure Sci-Fi Thriller
364.0,The Hangover Part III ,362000000.0,Warner Bros.,103000000.0,R,100.0,Comedy
365.0,The World is Not Enough ,361832000.0,Metro-Goldwyn-Mayer (MGM),135000000.0,PG-13,128.0,Action Adventure Thriller
366.0,Monster Hunt 2 ,361683000.0,Lionsgate,,,110.0,Adventure Comedy Fantasy Sci-Fi
367.0,Fast & Furious ,360364000.0,Universal Pictures,85000000.0,PG-13,107.0,Action Adventure Thriller
368.0,Noah ,359200000.0,Paramount Pictures,125000000.0,PG-13,138.0,Action Adventure Drama Romance Thriller
